bytes	type	mtime	source
7776	regular file	2026-07-12 23:46:27.252329162 +0800	/tmp/access-g1-brief.txt
6348	regular file	2026-07-12 23:46:27.363192826 +0800	/tmp/access-known-issues.md
297	regular file	2026-07-12 23:46:27.418624656 +0800	/tmp/access-npc-memory.md
7165	regular file	2026-07-12 23:46:27.307760993 +0800	/tmp/access-project-status.md
9689	regular file	2026-07-13 00:28:06.122345605 +0800	/tmp/access-second-page-ad-brief.txt
19720	regular file	2026-07-10 19:53:34.753309011 +0800	/tmp/b2-recon-report.txt
7151	regular file	2026-07-10 20:24:10.374700077 +0800	/tmp/b2s1-coremark.log
17910	regular file	2026-07-10 20:26:02.649537498 +0800	/tmp/b2s1-regress.log
2083	directory	2026-07-10 20:20:03.594408086 +0800	/tmp/b2s1-tb
470050	directory	2026-07-10 20:20:32.912264622 +0800	/tmp/b2s1-tb-full
7380	regular file	2026-07-11 01:52:08.342272930 +0800	/tmp/b2s2-coremark-final.log
12941	regular file	2026-07-11 01:10:57.866688874 +0800	/tmp/b2s2-coremark.log
17539	regular file	2026-07-11 01:45:19.508922093 +0800	/tmp/b2s2-coremark2.log
377485	regular file	2026-07-11 01:14:26.225352482 +0800	/tmp/b2s2-cw.log
4749	regular file	2026-07-11 01:19:40.664496673 +0800	/tmp/b2s2-dbg.log
4749	regular file	2026-07-11 01:27:19.420275411 +0800	/tmp/b2s2-dbg2.log
4749	regular file	2026-07-11 01:33:22.847367385 +0800	/tmp/b2s2-dbg3.log
4749	regular file	2026-07-11 01:40:07.195074963 +0800	/tmp/b2s2-dbg4.log
17910	regular file	2026-07-11 01:48:50.609649712 +0800	/tmp/b2s2-regress.log
4854	directory	2026-07-11 00:59:40.648112645 +0800	/tmp/b2s2-tb
470050	directory	2026-07-11 01:05:46.139323913 +0800	/tmp/b2s2-tb-full
2945803	directory	2026-07-12 22:45:55.460800571 +0800	/tmp/codex-g2-review-build
11557031	directory	2026-07-12 22:47:17.325375843 +0800	/tmp/codex-g2-review-build2
4830895	directory	2026-07-12 22:47:23.883389124 +0800	/tmp/codex-g2-review-build3
19343993	directory	2026-07-12 22:49:16.640607737 +0800	/tmp/codex-g2-review-final-build
472421	directory	2026-07-12 22:49:17.075315318 +0800	/tmp/codex-g2-review-final-results
264223	directory	2026-07-12 22:45:55.527985282 +0800	/tmp/codex-g2-review-results
52423	directory	2026-07-12 22:47:17.658673706 +0800	/tmp/codex-g2-review-results2
156119	directory	2026-07-12 22:47:24.350457213 +0800	/tmp/codex-g2-review-results3
1126	regular file	2026-07-12 12:20:12.931931294 +0800	/tmp/dead-forward-input-A.norm
1126	regular file	2026-07-12 12:20:12.931931294 +0800	/tmp/dead-forward-input-B.norm
62086	directory	2026-07-12 12:19:05.294470802 +0800	/tmp/dead-forward-review-focused
13665	directory	2026-07-12 12:18:53.698867411 +0800	/tmp/dead-forward-review-neg
7897	regular file	2026-07-12 21:00:55.020622242 +0800	/tmp/f1a-core-regress-brief.md
0	regular empty file	2026-07-12 21:00:37.733617644 +0800	/tmp/f1a-core-regress-brief.stdout
7610	regular file	2026-07-12 14:00:11.138444977 +0800	/tmp/f1a-review-brief.txt
7794	regular file	2026-07-12 22:22:37.508031112 +0800	/tmp/fetch-g2-brief.txt
189	regular file	2026-07-12 22:28:12.585364782 +0800	/tmp/fetch-g2-rc-probe.log
1864315	regular file	2026-07-12 23:42:38.796505853 +0800	/tmp/g2-manifest-current.json
1825339	regular file	2026-07-12 23:43:11.169608651 +0800	/tmp/g2-manifest-old.json
389	regular file	2026-07-12 23:38:22.631392341 +0800	/tmp/g2-normalize-manifest.jq
7784	regular file	2026-07-12 23:17:16.674954399 +0800	/tmp/g2-review-brief.txt
652	regular file	2026-07-12 23:43:11.169608651 +0800	/tmp/g2-select-manifest.jq
1107	regular file	2026-07-13 00:44:17.584516901 +0800	/tmp/ifu-access-g1-config-before-difftest
52350	directory	2026-07-13 00:00:42.254985994 +0800	/tmp/ifu-access-g1-lsu-control
1019568	directory	2026-07-13 00:14:58.547951939 +0800	/tmp/ifu-access-green-dev
1825658	regular file	2026-07-13 00:53:16.880583819 +0800	/tmp/ifu-access-manifest-base.json
1826297	regular file	2026-07-13 00:53:45.821313575 +0800	/tmp/ifu-access-manifest-minimal.json
1066647	directory	2026-07-13 00:20:43.994005307 +0800	/tmp/ifu-access-review-green
1068913	directory	2026-07-13 00:23:03.005722809 +0800	/tmp/ifu-access-review-green2
89951	directory	2026-07-13 00:25:19.818574046 +0800	/tmp/ifu-access-review-make
1074192	directory	2026-07-13 00:23:03.192688229 +0800	/tmp/ifu-access-review-red2
1068913	directory	2026-07-13 00:25:42.103830291 +0800	/tmp/ifu-access-root-green
1413	regular file	2026-07-13 00:53:16.876586646 +0800	/tmp/ifu-access-selected-entries.json
175973	directory	2026-07-12 21:51:00.613076508 +0800	/tmp/ifu-axi-g1-contract-review
175707	directory	2026-07-12 21:45:32.662249362 +0800	/tmp/ifu-axi-g1-green
175707	directory	2026-07-12 21:53:52.472549543 +0800	/tmp/ifu-axi-g1-green2
88048	directory	2026-07-12 21:34:29.183757365 +0800	/tmp/ifu-axi-g1-red
89647	directory	2026-07-12 21:41:48.897894391 +0800	/tmp/ifu-axi-g1-xbar-red
1808660	directory	2026-07-12 21:50:50.119230741 +0800	/tmp/ifu-axi-review-build
176009	directory	2026-07-12 21:50:50.203380796 +0800	/tmp/ifu-axi-review-results
